Region,Golden State Warriors: (6/2/22 - 6/16/22),Boston Celtics: (6/2/22 - 6/16/22)
Massachusetts,9%,91%
New Hampshire,7%,93%
Rhode Island,12%,88%
Maine,10%,90%
California,75%,25%
Vermont,17%,83%
Connecticut,24%,76%
Georgia,54%,46%
Mississippi,55%,45%
Arizona,55%,45%
Nevada,60%,40%
Hawaii,57%,43%
Florida,50%,50%
Texas,54%,46%
North Carolina,52%,48%
District of Columbia,46%,54%
Illinois,53%,47%
New Jersey,47%,53%
Alabama,54%,46%
Delaware,46%,54%
Arkansas,55%,45%
New York,48%,52%
Louisiana,53%,47%
Michigan,59%,41%
Alaska,54%,46%
Virginia,48%,52%
Ohio,47%,53%
Pennsylvania,49%,51%
Maryland,52%,48%
South Carolina,51%,49%
New Mexico,51%,49%
South Dakota,52%,48%
Montana,52%,48%
Idaho,57%,43%
Tennessee,50%,50%
Wisconsin,49%,51%
Nebraska,51%,49%
Utah,52%,48%
Kansas,53%,47%
Indiana,51%,49%
Iowa,52%,48%
Kentucky,50%,50%
Oregon,56%,44%
West Virginia,49%,51%
Washington,60%,40%
Wyoming,49%,51%
North Dakota,51%,49%
Missouri,50%,50%
Colorado,51%,49%
Oklahoma,49%,51%
Minnesota,54%,46%
